"Basin_ID" "start_x" "start_y" "end_x" "end_y" "Downstream_Basin_ID" "Area" "GR_new"
1 25 3 23 1 -1 107 0
2 19 7 10 1 -1 262 0
3 68 28 72 18 4 202 1
4 72 18 30 22 5 934 1
5 30 22 6 21 6 262 3
6 6 21 1 20 -1 53 5
7 44 32 38 34 8 148 2
8 38 34 29 23 5 122 2
9 80 32 81 29 10 120 1
10 81 29 73 17 4 133 1
11 87 38 82 28 10 192 1
12 29 41 22 40 13 149 4
13 22 40 7 22 6 375 4
14 3 43 1 43 -1 105 0
15 61 46 61 43 16 113 2
16 61 43 45 45 17 300 2
17 45 45 37 35 8 124 2
18 19 48 21 44 19 130 4
19 21 44 21 41 13 14 4
20 32 49 31 48 21 103 4
21 31 48 22 43 19 90 4
22 31 52 30 49 21 206 4
23 49 52 45 47 17 178 2
24 84 53 91 54 -1 146 0
25 2 58 1 58 -1 101 0
