"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA 3 3 3 3 3 3 3 3 NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 2 NA NA NA NA NA NA NA NA NA NA NA NA 2 2 2 2 2 2 2 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 3 3 3 3 3 3 3 3 3 3 NA NA NA NA NA NA NA NA NA NA NA 3 3 3 NA NA NA NA NA NA NA NA NA NA 2 2 2 2 2 2 2 2 2 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 4 4 4 4 3 3 3 3 3 3 3 NA NA NA NA NA NA NA NA 4 4 4 4 4 4 4 NA NA NA NA NA NA NA NA 2 2 2 2 2 2 2 2 2 2 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 5 5 4 4 3 3 3 3 3 3 3 3 NA NA NA NA NA NA NA 4 4 4 5 5 5 5 5 5 NA NA NA NA NA NA 2 2 2 2 2 2 2 2 2 2 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 8 6 6 6 6 6 6 6 8 8 8 8 8 8 8 8 NA NA NA NA NA NA NA 4 4 4 6 6 6 6 6 5 5 NA NA NA NA NA 2 2 2 2 2 2 2 2 2 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 8 8 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 NA NA NA NA NA NA NA NA 7 7 7 7 7 7 7 7 7 NA NA NA NA NA 2 2 2 2 2 2 2 2 2 2 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8 8 8 8 8 8 8 7 8 8 8 8 8 8 8 8 8 8 8 8 NA NA NA NA NA NA NA 7 7 7 7 7 7 7 7 7 7 NA NA NA NA 2 2 2 2 2 2 2 2 2 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 8 8 8 8 8 9 8 8 7 8 8 8 9 9 9 8 8 8 8 8 8 13 NA NA NA NA NA NA 7 7 7 7 7 7 7 7 7 7 7 NA NA NA 2 2 2 2 2 2 2 2 NA NA NA NA NA NA NA
10 10 10 10 10 NA NA NA NA NA NA 8 8 8 8 8 8 8 10 10 8 7 8 8 10 10 10 10 10 10 10 10 13 13 13 13 13 NA NA NA NA NA 7 7 7 7 7 7 7 7 7 7 NA NA NA 2 2 2 2 2 2 NA NA NA NA NA NA NA NA NA
NA 10 11 11 11 11 11 11 NA NA NA 8 8 8 8 8 8 8 11 10 10 7 8 10 10 10 10 11 11 11 13 13 13 13 13 15 15 15 15 NA NA NA 7 7 7 7 7 7 7 7 7 7 7 NA NA 2 2 2 2 2 2 NA NA NA NA NA NA NA NA NA
NA 10 12 12 12 12 12 12 NA NA NA 8 8 8 8 8 8 12 12 10 10 7 8 10 10 10 10 12 12 12 13 13 13 13 15 15 15 15 15 15 NA NA 7 7 7 7 7 7 7 7 7 7 7 7 7 2 2 2 2 2 2 NA NA NA NA NA NA NA NA NA
NA 10 13 13 13 13 13 13 NA NA NA NA 13 13 13 13 13 13 13 13 13 13 13 10 10 10 10 13 13 13 13 13 13 13 15 15 15 15 15 15 15 15 7 7 7 7 7 7 7 7 15 15 15 19 19 19 2 2 2 2 2 NA NA NA NA NA NA NA NA NA
NA 10 14 14 14 14 14 14 14 14 14 14 13 14 14 14 14 14 14 14 13 13 13 10 10 10 10 13 13 14 14 14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 18 18 19 19 19 19 2 2 2 2 NA NA NA NA NA NA NA NA NA
NA 10 14 15 15 15 15 15 15 15 15 15 14 14 14 14 14 14 15 15 13 13 13 10 10 10 10 13 14 14 15 15 15 15 16 16 16 16 16 16 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 2 NA NA NA NA NA NA NA NA NA NA
NA 10 14 16 16 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 13 13 13 10 10 10 10 13 14 14 15 15 16 16 16 16 16 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA NA NA
NA 14 14 17 17 17 17 17 17 15 15 15 16 16 16 16 16 16 17 17 17 17 17 10 10 10 10 14 14 14 15 15 16 17 17 17 18 18 18 18 18 18 18 18 18 20 19 19 19 19 19 18 19 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA NA NA
NA 14 14 17 18 18 18 18 18 18 18 16 16 16 16 17 17 17 17 18 18 18 20 10 10 10 10 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 21 21 21 20 19 19 19 19 19 19 19 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA NA NA
