"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 58 NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 NA 22 22 22 22 22 22 22 22 NA NA NA NA NA NA NA NA NA NA NA NA NA 43 43 43 NA NA NA NA NA NA NA NA NA NA NA NA 58 59 59 59 59 59 59 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 21 22 22 22 22 22 22 22 22 22 22 NA NA NA NA NA NA NA NA NA NA NA 43 43 43 NA NA NA NA NA NA NA NA NA NA 58 58 58 59 59 59 59 59 59 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 21 22 22 22 22 22 22 22 22 22 22 22 NA NA NA NA NA NA NA NA 43 43 43 44 44 44 44 NA NA NA NA NA NA NA NA 58 58 58 59 59 59 59 59 59 59 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 21 22 22 22 22 22 22 22 22 22 22 22 22 NA NA NA NA NA NA NA 43 43 43 44 44 44 44 44 44 NA NA NA NA NA NA 58 58 58 59 59 59 59 59 59 59 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 19 21 21 21 22 22 22 22 26 26 26 26 26 26 26 26 NA NA NA NA NA NA NA 43 43 43 44 44 44 44 44 44 44 NA NA NA NA NA 58 58 58 59 59 59 59 59 59 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 19 19 21 21 21 22 23 23 25 26 26 26 26 26 26 26 26 NA NA NA NA NA NA NA NA 44 44 44 44 44 44 44 44 44 NA NA NA NA NA 58 58 58 59 59 59 59 59 59 59 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19 19 19 19 19 20 21 22 23 24 25 26 26 26 26 26 26 26 26 26 NA NA NA NA NA NA NA 44 44 44 44 44 44 44 44 44 44 NA NA NA NA 58 58 58 59 59 59 59 59 59 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 19 19 19 19 19 19 20 21 22 23 24 25 26 26 26 26 26 26 26 26 26 30 NA NA NA NA NA NA 44 44 44 44 44 44 44 44 44 44 44 NA NA NA 58 58 58 59 59 59 59 59 NA NA NA NA NA NA NA
1 2 3 3 3 NA NA NA NA NA NA 19 19 19 19 19 19 19 19 19 21 22 23 24 26 26 27 28 28 28 28 28 30 30 30 30 30 NA NA NA NA NA 44 44 44 44 44 44 44 44 44 44 NA NA NA 58 58 58 59 59 59 NA NA NA NA NA NA NA NA NA
NA 2 3 3 3 3 3 3 NA NA NA 19 19 19 19 19 19 19 19 19 19 22 23 26 26 26 27 28 28 28 30 30 30 30 30 33 33 33 33 NA NA NA 44 44 44 44 44 44 44 44 44 44 44 NA NA 58 58 58 59 59 59 NA NA NA NA NA NA NA NA NA
NA 2 3 3 3 3 3 3 NA NA NA 19 19 19 19 19 19 19 19 19 19 22 23 26 27 27 27 28 28 28 30 30 30 30 33 33 33 33 33 33 NA NA 44 44 44 44 44 44 44 44 44 44 44 44 44 58 58 58 59 59 59 NA NA NA NA NA NA NA NA NA
NA 2 3 3 3 3 3 3 NA NA NA NA 19 19 19 19 19 19 19 19 19 19 19 26 27 27 27 28 29 30 30 30 30 30 33 33 33 33 33 33 33 33 44 44 44 44 44 44 44 44 33 33 33 51 51 51 58 58 59 59 59 NA NA NA NA NA NA NA NA NA
NA 2 3 4 4 4 4 4 4 4 4 4 19 19 19 19 19 19 19 19 19 19 19 27 27 27 27 28 29 30 31 31 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 36 36 51 51 51 51 59 59 59 59 NA NA NA NA NA NA NA NA NA
NA 2 3 4 4 4 4 4 4 4 4 4 19 19 19 19 19 19 19 19 19 19 19 27 27 27 27 28 30 30 31 32 33 33 34 34 34 34 34 34 36 36 36 36 36 36 36 36 36 36 36 36 36 51 51 51 51 51 51 59 NA NA NA NA NA NA NA NA NA NA
NA 2 3 4 4 4 4 4 4 4 4 4 19 19 19 19 19 19 19 19 19 19 19 27 27 27 27 28 30 30 31 32 33 34 34 34 34 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA NA NA
NA 3 3 4 5 5 5 5 5 4 4 4 19 19 19 19 19 19 19 20 20 20 20 27 27 27 27 30 30 30 31 32 33 34 35 35 36 36 36 36 36 36 36 36 36 46 47 47 47 50 51 36 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA NA NA
NA 3 3 4 5 5 5 5 5 5 5 19 19 19 19 19 19 19 19 20 20 20 23 27 27 27 27 30 30 31 31 33 33 34 35 36 36 36 36 36 36 36 43 43 43 46 47 47 47 50 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA NA NA
NA 3 3 4 5 6 7 7 5 5 5 5 19 19 19 19 19 19 19 20 21 21 23 23 23 27 30 30 30 31 31 33 33 35 35 36 37 38 38 38 38 38 43 43 43 46 47 48 49 50 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA NA NA
NA 3 4 4 5 5 7 7 7 7 7 7 19 19 19 19 19 19 19 20 21 22 23 23 23 23 30 30 30 31 31 33 33 35 35 36 37 38 39 40 40 40 43 44 45 46 47 47 47 47 51 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA NA
