"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 1 2 3 4 5 6 7 8 NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 2 NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 2 3 4 5 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 2 3 4 5 6 7 8 9 NA NA NA NA NA NA NA NA NA NA NA 0 1 2 NA NA NA NA NA NA NA NA NA NA 3 2 1 1 2 3 4 5 6 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 0 1 2 3 5 6 7 8 9 10 11 NA NA NA NA NA NA NA NA 2 1 0 0 1 2 3 NA NA NA NA NA NA NA NA 4 3 2 2 5 4 5 6 7 8 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 0 1 3 4 6 7 8 9 10 11 12 13 NA NA NA NA NA NA NA 3 2 1 0 1 2 3 4 5 NA NA NA NA NA NA 5 4 3 3 6 5 6 7 8 9 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 3 2 1 0 0 1 2 3 2 3 4 5 6 7 8 9 NA NA NA NA NA NA NA 4 3 2 0 1 2 3 4 6 7 NA NA NA NA NA 6 5 4 4 7 6 7 8 9 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 3 2 2 1 0 0 0 1 1 1 2 3 4 5 6 9 10 NA NA NA NA NA NA NA NA 2 1 0 1 2 3 4 5 6 NA NA NA NA NA 7 6 5 5 8 7 8 9 10 11 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4 3 2 1 0 0 0 1 0 0 0 0 1 2 3 4 5 6 7 8 NA NA NA NA NA NA NA 3 2 1 2 3 4 5 6 7 8 NA NA NA NA 8 7 6 6 9 8 9 10 11 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 6 5 4 3 2 0 1 1 2 1 1 1 0 1 2 4 5 6 7 8 9 9 NA NA NA NA NA NA 4 3 2 3 4 5 6 7 8 9 10 NA NA NA 9 8 7 7 10 9 10 11 NA NA NA NA NA NA NA
0 0 0 1 2 NA NA NA NA NA NA 9 8 7 6 5 4 3 0 1 2 3 2 2 1 0 0 0 1 2 3 4 6 7 8 9 10 NA NA NA NA NA 4 3 4 5 6 7 8 9 10 11 NA NA NA 10 9 8 12 11 10 NA NA NA NA NA NA NA NA NA
NA 1 0 1 2 3 4 5 NA NA NA 10 9 8 7 6 5 4 0 2 3 4 3 3 2 1 1 0 1 2 3 4 5 6 7 7 8 9 10 NA NA NA 5 4 5 6 7 8 9 10 11 12 13 NA NA 11 10 9 13 12 11 NA NA NA NA NA NA NA NA NA
NA 2 0 1 2 3 4 5 NA NA NA 11 10 9 8 7 6 1 0 3 4 5 4 4 4 3 2 0 1 2 2 3 4 5 5 6 7 8 9 10 NA NA 6 5 6 7 8 9 10 11 12 13 14 15 16 12 11 10 14 13 12 NA NA NA NA NA NA NA NA NA
NA 3 0 1 2 3 4 5 NA NA NA NA 6 5 4 3 2 1 0 1 2 3 4 5 5 4 3 0 0 0 1 2 3 4 4 5 6 7 8 9 10 11 7 8 7 8 9 10 11 12 20 21 22 9 10 11 12 11 15 14 13 NA NA NA NA NA NA NA NA NA
