"X","subbasin_no","Y","Y_cell","X_cell","GR_new","river"
45,0,6255,70,1,7,NA
45,0,6165,69,1,7,NA
45,0,6075,68,1,7,NA
45,0,5985,67,1,7,NA
45,0,5895,66,1,7,NA
45,0,5805,65,1,7,NA
45,0,5715,64,1,7,NA
45,0,5625,63,1,7,NA
45,0,5535,62,1,7,NA
45,0,5445,61,1,7,NA
45,0,5355,60,1,7,NA
45,0,5265,59,1,7,NA
45,25,5175,58,1,7,1
45,0,5085,57,1,7,NA
45,0,4995,56,1,7,NA
45,0,4905,55,1,7,NA
45,0,4815,54,1,7,NA
45,0,4725,53,1,7,NA
45,0,4635,52,1,7,NA
45,0,4545,51,1,7,NA
45,0,4455,50,1,7,NA
45,0,4365,49,1,7,NA
45,0,4275,48,1,7,NA
45,0,4185,47,1,7,NA
45,0,4095,46,1,7,NA
45,0,4005,45,1,7,NA
45,0,3915,44,1,7,NA
45,14,3825,43,1,7,1
45,0,3735,42,1,7,NA
45,0,3645,41,1,7,NA
45,0,3555,40,1,7,NA
45,0,3465,39,1,7,NA
45,0,3375,38,1,7,NA
45,0,3285,37,1,7,NA
45,0,3195,36,1,7,NA
45,0,3105,35,1,7,NA
45,0,3015,34,1,7,NA
45,0,2925,33,1,7,NA
45,0,2835,32,1,7,NA
45,0,2745,31,1,7,NA
45,0,2655,30,1,7,NA
45,0,2565,29,1,7,NA
45,0,2475,28,1,7,NA
45,0,2385,27,1,7,NA
45,0,2295,26,1,7,NA
45,0,2205,25,1,7,NA
45,0,2115,24,1,7,NA
45,0,2025,23,1,7,NA
45,0,1935,22,1,7,NA
45,0,1845,21,1,7,NA
45,6,1755,20,1,6,1
45,0,1665,19,1,7,NA
45,0,1575,18,1,7,NA
45,0,1485,17,1,7,NA
45,0,1395,16,1,7,NA
45,0,1305,15,1,7,NA
45,0,1215,14,1,7,NA
45,0,1125,13,1,7,NA
45,0,1035,12,1,7,NA
45,0,945,11,1,7,NA
45,0,855,10,1,7,NA
45,0,765,9,1,7,NA
45,0,675,8,1,7,NA
45,0,585,7,1,7,NA
45,0,495,6,1,7,NA
45,0,405,5,1,7,NA
45,0,315,4,1,7,NA
45,0,225,3,1,7,NA
45,0,135,2,1,7,NA
45,0,45,1,1,7,NA
135,0,6255,70,2,7,NA
135,0,6165,69,2,7,NA
135,0,6075,68,2,7,NA
135,0,5985,67,2,7,NA
135,0,5895,66,2,7,NA
135,0,5805,65,2,7,NA
135,25,5715,64,2,7,NA
135,25,5625,63,2,7,NA
135,25,5535,62,2,7,NA
135,25,5445,61,2,7,NA
135,25,5355,60,2,7,NA
135,25,5265,59,2,7,1
135,25,5175,58,2,7,1
135,0,5085,57,2,7,NA
135,0,4995,56,2,7,NA
135,0,4905,55,2,7,NA
135,0,4815,54,2,7,NA
135,0,4725,53,2,7,NA
135,0,4635,52,2,7,NA
135,0,4545,51,2,7,NA
135,0,4455,50,2,7,NA
135,0,4365,49,2,7,NA
135,0,4275,48,2,7,NA
135,0,4185,47,2,7,NA
135,0,4095,46,2,7,NA
135,14,4005,45,2,7,NA
135,14,3915,44,2,7,NA
135,14,3825,43,2,7,1
135,0,3735,42,2,7,NA
135,0,3645,41,2,7,NA
135,0,3555,40,2,7,NA
135,0,3465,39,2,7,NA
135,0,3375,38,2,7,NA
135,0,3285,37,2,7,NA
135,0,3195,36,2,7,NA
135,0,3105,35,2,7,NA
135,0,3015,34,2,7,NA
135,0,2925,33,2,7,NA
135,0,2835,32,2,7,NA
135,0,2745,31,2,7,NA
135,0,2655,30,2,7,NA
135,6,2565,29,2,6,NA
135,6,2475,28,2,6,NA
135,6,2385,27,2,6,NA
135,6,2295,26,2,6,NA
135,6,2205,25,2,6,NA
135,6,2115,24,2,6,NA
135,6,2025,23,2,6,NA
135,6,1935,22,2,6,NA
135,0,1845,21,2,7,NA
135,6,1755,20,2,6,1
135,0,1665,19,2,7,NA
135,0,1575,18,2,7,NA
135,0,1485,17,2,7,NA
135,0,1395,16,2,7,NA
135,0,1305,15,2,7,NA
135,0,1215,14,2,7,NA
135,0,1125,13,2,7,NA
135,0,1035,12,2,7,NA
135,0,945,11,2,7,NA
135,0,855,10,2,7,NA
135,0,765,9,2,7,NA
135,0,675,8,2,7,NA
